tripMode,donor_model,run1,run2,run4,run7,run8,run9
Bike,0.0110633804157448,0.0100681728713323,0.0106604491781387,0.0098940242956254,0.0104830686606533,0.0099019408427653,0.0110713065647862
Drive Alone,0.5718742315870299,0.5748728168889811,0.5933914794824309,0.5606245122440605,0.5854063883027297,0.5595195191236928,0.6122692425796806
Micro-Mobility,0.0026704780689531,0.0018562575534181,0.0016931246701732,0.00186175517051,0.0016757854165394,0.0018731927205479,0.0014532705446256
Non-Pooled TNC,0.0081123478382487,0.0063542226476556,0.0065957876682592,0.00617678794571,0.006458486539614,0.0061605721467862,0.0067583173796431
Pooled TNC,0.0008423669163286,0.0005845007565435,0.0006014188018433,0.0005649144487867,0.0005798021936376,0.0005596490811259,0.0006037510032623
School Bus,0.011508393063719,0.011307488723246,0.0124863923552507,0.0109232072350868,0.0122257353321002,0.0108380014206292,0.0136327898287572
Shared Ride 2,0.1663803354918542,0.140993267335131,0.1421435594248339,0.1359419199137826,0.1393111348121919,0.1359466036947907,0.1430261680059223
Shared Ride 3+,0.0811143884257552,0.0704277993282238,0.073110857329476,0.0672344372044314,0.0711207286157721,0.0670860014561282,0.0754032694425569
Taxi,0.0011610766433788,0.00080213883643,0.000840378929727,0.0007758657990326,0.0008110710653623,0.0007757863735457,0.0008544562392668
Transit,0.0261578153103142,0.022362522320551,0.0227310573487401,0.0224094271794057,0.0225859084526834,0.0224066152196844,0.022879517980269
Walk,0.1191151862386732,0.1603708127384871,0.1357454948111265,0.1835931485635676,0.1493418906087156,0.1849321179203032,0.1120479104312296
