homeMGRA,household_numbers
1,4
2,2
3,3
4,1
5,2
7,3
8,1
9,3
10,1
11,2
12,3
14,5
16,4
17,1
18,5
20,9
21,1
22,1
23,3
25,1
26,1
27,4
28,1
29,4
30,1
34,3
35,2
37,2
38,2
39,2
40,1
41,1
42,1
43,2
44,2
46,1
47,2
48,1
49,2
50,3
52,1
53,1
54,2
58,3
59,1
60,1
61,1
62,2
63,3
64,10
65,2
66,1
67,11
68,1
69,5
70,2
71,3
73,2
74,6
75,14
76,5
77,6
78,6
79,1
80,2
81,1
83,5
84,3
85,8
87,2
89,1
90,4
91,30
93,10
96,1
97,4
98,2
100,3
101,5
102,1
103,1
104,1
105,3
108,1
112,1
114,1
116,4
117,2
118,3
119,1
120,1
121,3
123,1
124,2
125,1
126,1
127,1
128,4
129,2
130,2
131,4
132,1
133,3
134,3
135,1
136,4
137,1
139,2
141,1
146,6
147,6
148,12
149,4
150,9
151,5
152,3
153,2
154,5
155,4
156,3
157,7
159,10
160,13
161,7
162,1
163,2
165,5
166,31
167,15
168,2
169,20
170,2
171,11
172,5
173,4
174,3
177,17
178,20
179,8
180,19
181,1
182,7
183,7
185,3
186,7
188,16
190,13
191,6
192,4
194,89
195,11
196,15
198,9
199,13
200,28
201,9
202,4
205,15
206,3
207,9
208,15
209,36
210,2
211,7
213,1
214,2
215,3
216,1
217,3
220,1
221,3
222,3
223,3
224,3
225,5
226,4
227,7
228,21
229,9
230,8
232,16
233,11
234,8
235,38
236,7
237,6
238,25
239,15
240,52
241,39
242,21
243,7
244,1
245,13
246,7
247,5
248,17
249,24
250,51
251,11
253,3
254,9
255,11
257,2
259,3
260,9
261,3
262,10
263,9
264,1
265,2
266,9
267,3
268,1
269,8
270,30
272,15
273,1
274,23
275,4
279,5
280,29
281,35
282,17
283,31
284,4
285,3
286,24
287,8
288,61
289,32
290,1
291,12
292,6
293,9
294,23
295,7
296,15
297,3
298,4
299,1
300,2
302,3
303,42
304,7
305,16
306,29
307,11
308,10
309,3
310,30
311,65
312,42
313,7
314,6
315,3
316,50
317,37
318,84
319,122
320,65
321,67
322,8
324,79
325,14
326,14
327,8
328,32
329,26
330,33
331,16
332,46
333,49
334,7
335,11
336,84
337,22
338,32
339,19
340,20
341,32
342,2
343,17
344,9
345,8
346,24
347,25
348,5
349,8
350,7
351,8
352,2
353,8
354,3
355,13
356,9
357,4
358,19
359,17
360,9
361,4
364,21
365,17
366,9
367,4
368,9
369,30
370,3
371,4
372,6
373,15
374,11
375,33
376,14
377,2
378,3
379,15
380,11
381,4
382,3
383,29
384,31
385,58
386,37
387,38
388,16
389,23
390,21
391,16
392,21
393,8
394,32
395,31
396,32
397,40
398,33
399,32
400,54
401,27
402,60
403,24
405,30
406,29
407,7
408,2
409,14
410,20
411,3
412,10
413,18
414,11
415,6
416,22
417,3
418,12
419,8
421,25
422,20
423,15
424,9
425,6
426,1
427,8
428,7
429,15
430,21
431,24
432,5
433,2
436,4
437,1
439,1
441,1
446,2
449,1
454,2
456,8
457,3
459,15
460,10
461,3
462,9
464,2
465,22
466,2
467,3
468,7
470,5
471,1
472,1
475,2
476,1
477,2
479,6
480,2
481,3
482,3
483,1
484,3
485,2
486,3
488,43
489,11
490,13
491,3
492,50
493,19
494,22
495,36
496,21
498,20
499,17
500,6
502,59
503,3
504,69
505,48
506,30
508,22
509,49
510,38
511,17
513,13
514,66
515,40
516,18
