tripMode,num_trips,share
Bike,67566.0000001,0.005273446968639188
Drive Alone,5453469.934966808,0.4256369253333496
Micro-Mobility,36252.0,0.0028294260353850294
Non-Pooled TNC,47418.8327066,0.003700984216805175
Pooled TNC,4945.50000478,0.000385990468705763
School Bus,18458.0,0.0014406252278808583
Shared Ride 2,1331209.909285894,0.10389937040428257
Shared Ride 3+,474844.90446026216,0.03706108726276572
Taxi,5716.18185972,0.0004461412826019912
Transit,235094.00004294,0.018348810672081644
Truck,371452.2853739769,0.02899141473961161
Walk,4766065.00160049,0.37198577738789085
