mgra,household_numbers
6,4
9,132
10,11
15,1
16,46
17,3
19,5
21,1
25,2
26,5
28,33
29,58
30,2
33,2
36,2
38,1
46,20
48,15
51,3
53,2
54,10
56,25
66,599
69,182
70,6
71,8
76,2
83,62
84,38
86,2
88,328
90,10
91,1
92,536
93,58
94,30
95,72
98,136
101,114
103,215
104,15
105,18
106,5
109,5
110,3
111,54
114,193
119,70
126,41
127,2
128,81
131,57
132,65
134,36
137,5
138,51
139,79
140,14
141,12
143,7
144,39
152,3
153,562
155,88
157,3
159,5
160,12
162,22
163,38
164,1
165,27
167,40
169,72
172,2
174,9
175,29
176,187
177,312
179,17
180,9
182,72
183,68
184,272
187,29
189,1
190,56
191,3
195,1
196,4
197,27
198,28
199,5
200,93
203,71
204,12
205,12
207,16
208,10
209,8
210,48
211,4
212,3
214,12
218,6
219,65
220,39
221,8
223,7
224,23
226,1
227,11
228,28
229,67
230,1
231,4
234,2
235,27
236,11
238,17
239,8
240,7
241,42
242,27
243,51
244,22
245,8
246,29
247,88
248,296
249,18
250,6
251,116
252,6
253,73
254,4
255,9
256,19
257,5
258,55
259,1
262,193
263,1
264,9
265,75
266,56
267,223
268,51
269,372
270,19
272,49
273,17
275,44
277,23
279,3
280,37
281,19
282,24
284,246
285,11
286,20
287,46
288,10
290,2
291,43
292,4
293,4
294,3
295,146
297,128
298,39
299,49
300,155
301,1
302,4
303,52
304,34
305,248
307,64
308,2
310,122
311,7
312,10
313,753
315,11
316,23
317,36
318,53
320,8
321,4
322,19
323,61
324,89
325,15
326,2
327,28
328,33
329,8
330,16
331,61
332,26
333,8
334,1
335,3
336,57
337,7
338,78
339,22
340,46
341,135
342,23
343,22
344,27
347,22
348,433
349,2
351,14
353,55
354,1
355,101
357,32
358,14
359,188
360,71
361,1
362,91
363,9
364,48
365,133
366,1
367,13
368,375
369,6
370,2
372,2
373,220
375,36
376,12
377,172
378,15
379,123
381,4
382,86
383,84
384,16
385,273
386,1
387,127
388,152
389,5
390,195
391,15
392,1
393,89
394,445
397,251
398,3
399,44
400,58
401,108
402,125
403,4
404,16
406,35
407,6
409,201
410,85
411,79
412,166
413,24
414,3
415,6
416,104
417,65
418,12
419,13
421,43
422,27
423,58
424,132
425,6
427,56
428,48
429,4
430,106
431,22
432,1376
434,15
435,21
436,3
437,36
438,34
439,154
440,99
441,87
442,282
443,112
444,50
445,1
446,32
447,61
448,40
449,127
451,56
452,14
453,9
454,2
455,6
457,32
458,28
459,360
460,8
461,2
462,64
463,47
464,32
466,40
467,39
468,73
469,19
473,314
474,66
475,39
476,209
477,316
478,86
479,49
480,6
481,5
482,35
483,7
484,1
485,20
486,12
487,60
488,3
489,69
490,6
491,389
492,10
493,3
494,15
495,217
496,33
497,201
498,8
499,126
500,45
501,15
502,22
503,40
504,58
505,145
506,179
507,28
510,42
512,1
513,85
514,84
515,7
516,8
518,20
519,31
520,18
521,12
522,4
523,1
524,552
525,77
526,4
527,399
528,8
529,12
530,273
531,81
533,19
534,1
535,2
536,268
537,21
538,23
539,9
540,32
543,182
544,84
545,1
546,216
547,75
548,31
549,497
551,1
555,18
556,47
560,203
561,1
562,77
563,6
564,68
565,92
566,10
567,88
568,11
569,19
570,12
571,41
573,21
575,1
576,63
577,721
579,98
580,196
581,71
582,15
583,333
584,2
585,12
586,11
587,327
588,4
590,12
592,47
593,406
595,492
596,10
597,197
598,7
599,56
600,187
601,55
602,11
604,46
605,88
606,1
607,3
608,73
609,140
610,6
611,29
612,276
613,237
614,214
615,83
616,241
617,45
619,316
620,26
622,510
623,2
624,36
626,4
628,47
629,72
630,9
631,109
632,38
633,215
634,48
635,127
636,8
637,3
638,254
639,8
640,196
642,38
643,119
644,38
645,7
646,67
647,57
648,12
649,53
650,183
651,27
652,158
654,32
655,15
656,15
657,512
658,5
660,147
661,47
662,408
663,16
664,93
665,174
666,11
667,169
668,27
669,484
670,50
671,27
672,160
673,271
674,90
675,18
676,53
677,915
678,289
679,53
680,247
681,152
682,12
684,198
685,431
686,25
687,119
688,225
689,27
690,489
691,64
692,12
693,20
694,1
695,38
696,613
697,9
698,11
699,627
700,13
701,262
702,124
703,41
705,240
706,81
707,18
708,258
709,27
710,33
711,75
712,5
713,7
715,3
716,72
717,104
718,229
719,1
720,122
721,27
722,19
723,120
724,113
725,22
726,152
727,11
728,93
729,69
730,168
731,292
732,375
733,77
735,2
736,481
737,225
738,243
739,1
740,59
741,59
742,160
743,190
744,134
745,438
747,2
748,206
749,156
750,103
751,340
752,8
753,2
754,1
755,23
757,41
758,44
759,284
760,452
761,2
762,109
764,5
765,864
766,85
768,109
770,55
771,156
772,14
773,23
774,31
775,4
776,72
778,191
779,35
780,64
781,23
782,332
783,24
784,22
785,35
786,53
787,348
788,29
793,64
794,2
795,304
796,26
797,34
798,209
799,421
800,181
802,8
803,600
804,173
805,206
806,17
807,7
808,58
809,116
810,39
811,251
812,3
813,60
814,66
815,218
816,58
817,1
819,18
820,13
821,143
823,61
824,215
825,216
826,92
827,11
828,170
830,8
831,1
832,58
833,16
834,38
835,60
836,92
838,4
839,4
840,43
841,10
842,1
843,134
844,22
845,82
846,63
847,21
848,1
849,10
851,71
852,164
853,56
855,109
856,127
857,1
858,133
860,28
861,24
862,63
863,108
864,221
866,38
867,13
868,31
869,130
870,78
871,65
872,29
873,1266
874,13
875,8
876,7
877,544
878,86
879,451
880,977
881,42
882,58
883,53
884,198
886,101
887,86
888,74
889,213
890,51
891,69
892,75
893,140
894,1
895,11
896,30
897,10
898,3
899,52
901,167
902,2
903,22
904,6
905,76
906,157
907,40
908,334
909,3
910,598
912,9
914,26
915,122
916,167
917,37
918,15
919,55
920,30
921,116
922,324
923,167
924,45
925,2331
926,559
927,27
929,132
930,138
931,28
932,175
933,19
934,40
935,39
936,7
937,1
938,4
939,60
940,37
941,164
942,1
943,14
944,2
945,128
946,60
947,1
948,424
949,347
950,179
951,243
952,848
953,676
954,53
955,34
956,160
958,222
959,10
960,504
961,84
962,2
963,25
964,39
965,2
966,253
967,531
968,40
969,131
970,253
971,119
972,776
973,33
974,737
975,265
976,27
978,13
979,8
980,93
982,180
983,595
984,123
985,62
986,97
987,103
988,610
989,617
990,52
991,78
993,26
994,52
996,53
997,34
998,258
999,157
1000,82
