mgra,household_numbers
2,40
3,17
8,4
12,1
14,1
15,16
16,21
19,7
20,14
23,123
24,2
28,11
32,14
34,1
36,1
37,45
38,1
40,1
42,9
43,3
44,3
46,1
47,13
52,8
53,2
56,6
57,3
58,2
59,6
60,11
62,10
63,1
64,4
65,6
66,1
69,12
71,1
72,58
73,2
74,17
75,4
76,12
77,7
80,12
85,10
86,2
87,1
88,2
91,11
92,12
95,5
96,3
98,32
100,4
101,71
102,1
105,3
106,56
107,2
114,4
116,120
118,33
123,2
124,52
125,132
126,53
128,9
129,16
130,16
132,2
133,37
135,46
137,65
139,3
141,1
142,22
150,4
154,16
155,6
158,7
159,1
164,3
166,1
168,1
171,3
172,8
175,1
177,1
179,5
181,18
183,3
186,5
187,16
188,8
194,6
196,4
199,3
201,6
202,17
203,8
204,4
206,29
207,15
208,1
210,7
212,2
213,7
214,13
215,1
223,94
225,3
227,5
232,4
235,2
238,1
240,6
241,2
243,2
244,4
245,49
246,53
247,18
250,8
251,12
255,25
258,6
278,19
279,394
282,597
285,7
287,321
291,341
292,9
293,1
294,27
296,186
298,62
299,7
300,10
301,16
305,8
306,91
307,350
308,59
309,27
310,40
311,10
312,33
313,26
315,4
317,3
318,2
320,17
321,3
322,19
325,1
327,1
329,21
330,2
331,125
332,19
333,2
334,10
335,27
336,1
341,12
344,4
345,26
346,5
347,7
349,29
353,92
355,6
359,25
360,5
366,6
367,35
368,1
370,72
372,132
374,2
378,12
380,58
381,10
382,4
384,90
387,38
388,6
389,9
391,6
392,46
394,29
395,59
398,33
400,226
401,2
403,32
405,8
406,2
407,4
410,9
412,3
413,1
415,1
416,72
417,45
418,324
419,10
420,5
421,37
423,9
426,1
428,29
429,6
430,535
431,24
432,56
433,3
434,30
436,31
438,72
439,212
442,11
443,67
445,35
447,135
448,58
452,64
453,25
455,61
457,113
461,6
462,12
463,21
464,11
465,4
466,192
467,46
468,28
469,15
470,10
473,105
474,20
475,50
476,37
478,6
479,83
480,31
481,215
482,22
483,5
484,20
485,16
488,18
492,9
495,12
496,8
498,27
503,5
504,1
508,5
510,2
511,54
518,8
519,191
521,15
522,10
523,179
527,25
528,11
530,8
531,18
534,59
544,70
551,41
555,64
556,9
558,1
560,40
561,2
562,81
567,161
568,30
570,17
572,57
573,65
577,36
579,12
581,1
582,15
583,87
584,2
586,5
588,34
589,39
590,51
591,79
592,1
595,5
596,15
598,55
599,29
600,38
601,108
602,12
604,43
607,68
608,44
609,7
611,95
612,2
613,36
614,30
617,39
621,6
626,73
627,6
629,4
633,86
637,45
639,18
642,15
643,7
645,6
646,2
647,76
648,25
650,3
651,1
652,2
653,4
654,653
655,6
656,560
657,66
658,27
661,10
663,89
664,236
666,21
668,13
673,3
675,168
676,10
677,5
681,8
682,63
683,5
684,11
686,22
687,4
688,4
690,130
693,17
694,37
695,1
697,43
698,11
699,27
701,72
705,10
706,325
708,8
709,46
711,14
712,34
713,3
715,17
717,8
720,43
721,35
722,10
723,9
725,3
727,23
730,27
733,54
739,71
742,1
744,34
745,1
746,1
748,3
750,7
751,7
754,1
755,5
756,28
757,2
759,17
760,4
761,1
762,10
763,20
764,1
765,2
766,18
768,1
773,10
774,29
776,12
777,21
778,184
781,1
782,6
783,2
784,3
785,52
788,308
790,3
791,2
792,23
794,2
795,28
796,47
797,5
798,3
799,3
801,1
803,104
805,100
807,5
809,119
810,1
811,2
812,9
813,17
814,49
817,99
818,39
819,54
820,11
821,30
824,6
825,85
826,48
827,10
828,3
829,51
830,35
832,26
833,15
834,9
835,2
836,13
839,1
840,12
841,2
842,35
843,8
845,4
847,73
848,3
849,17
850,32
851,50
852,4
854,35
855,17
856,175
858,20
859,31
861,73
862,28
863,8
864,11
865,69
866,14
867,7
869,29
870,19
872,2
873,53
874,2
876,191
877,17
878,18
880,130
881,74
882,57
883,15
884,3
885,1
886,1
887,46
888,1
889,24
890,119
891,268
892,19
895,80
896,1
897,247
898,20
899,77
902,33
903,2
904,16
905,58
906,85
909,63
910,21
911,9
912,26
914,11
915,2
918,15
919,1
920,5
921,235
922,15
923,226
924,30
925,40
927,4
929,12
930,13
931,8
932,127
933,44
934,20
935,16
937,16
938,7
940,15
942,24
943,2
944,3
945,51
946,227
947,9
948,58
949,8
951,16
952,28
953,32
955,25
956,4
957,85
958,99
959,26
961,6
962,1
963,5
965,42
966,9
967,50
968,2
969,94
971,25
972,63
973,149
974,4
975,54
976,9
977,1
978,19
980,3
982,11
983,108
984,58
986,47
987,49
988,29
989,75
990,2
991,178
992,8
993,8
994,61
995,1
996,2
997,23
1000,1
1002,6
1003,50
1004,1
1005,14
1006,45
1007,1
1008,161
1009,9
1010,14
1013,178
1014,63
1015,9
1016,5
1017,6
1018,26
1019,4
1020,3
1021,96
1022,24
1023,2
1024,10
1026,23
1027,292
1029,5
1030,28
1031,6
1032,6
1033,136
1035,44
1036,9
1037,18
1038,5
1039,2
1040,7
1041,60
1042,337
1043,24
1044,6
1045,7
1046,92
1047,131
1048,1
1049,65
1050,51
1051,21
1052,80
1053,1
1054,1
1055,6
1056,26
1057,33
1058,28
1060,76
1061,10
1062,3
1063,88
1064,38
1065,59
1066,6
1068,5
1069,8
1070,21
1071,17
1072,70
1073,2
1074,13
1075,8
1076,152
1077,4
1078,63
1079,51
1080,99
1081,193
1082,10
1083,594
1084,65
1085,8
1086,29
1089,3
1091,1
1092,2
1093,21
1094,72
1095,228
1096,11
1097,49
1098,11
1099,125
1100,34
1101,51
1103,77
1104,4
1105,21
1106,24
1107,12
1109,12
1110,23
1111,43
1112,1
1113,54
1114,283
1116,18
1117,13
1118,2
1119,331
1120,30
1122,32
1123,67
1125,17
1126,33
1127,3
1128,70
1129,16
1130,10
1131,23
1132,168
1133,1
1134,179
1135,7
1136,10
1137,84
1138,112
1139,29
1140,10
1141,11
1142,21
1143,19
1144,8
1145,234
1147,16
1148,137
1149,47
1150,2
1151,4
1152,67
1153,5
1154,34
1155,165
1156,2
1157,51
1158,234
1159,11
1160,9
1161,2
1162,8
1164,6
1165,90
1166,759
1167,3
1169,25
1170,12
1171,1
1174,23
1175,43
1176,200
1177,94
1178,68
1179,94
1181,5
1183,60
1184,6
1185,4
1186,29
1188,12
1189,11
1190,7
1191,24
1192,52
1194,1
1195,5
1196,2
1198,246
1199,2
1201,207
1203,20
1204,12
1205,2
1206,30
1208,53
1209,5
1210,7
1211,34
1212,8
1213,8
1214,6
1215,1
1216,21
1217,57
1218,235
1219,15
1221,11
1222,7
1223,67
1224,37
1226,71
1227,11
1228,13
1229,54
1230,94
1231,3
1232,72
1233,14
1234,7
1236,7
1237,7
1238,23
1239,48
1241,54
1242,209
1243,9
1244,55
1245,27
1247,162
1248,10
1249,1
1250,90
1251,14
1252,6
1253,46
1254,12
1256,96
1257,4
1259,97
1260,196
1261,35
1262,11
1263,40
1264,1
1265,112
1266,23
1267,1
1268,7
1269,28
1270,22
1271,2
1272,4
1273,1
1274,45
1275,13
1276,153
1277,124
1278,161
1279,46
1280,8
1281,65
1282,19
1283,2
1284,8
1286,3
1287,75
1288,26
1289,64
1290,3
1291,1
1292,2
1293,5
1295,82
1296,108
1298,14
1299,83
1302,59
1303,25
1304,5
1305,10
1306,45
1307,17
1308,22
1309,20
1310,8
1312,10
1315,76
1316,90
1317,83
1318,142
1319,5
1320,6
1321,43
1322,2
1323,60
1324,17
1325,27
1326,4
1327,12
1328,4
1329,50
1330,65
1331,100
1333,20
1334,52
1335,32
1337,9
1338,16
1339,19
1340,99
1341,5
1342,17
1343,72
1344,31
1346,28
1347,30
1348,23
1350,9
1351,91
1352,2
1353,41
1354,16
1355,2
1356,38
1357,177
1358,22
1359,11
1360,2
1361,73
1362,7
1363,89
1364,84
1365,30
1366,3
1367,1
1368,168
1369,7
1370,87
1371,75
1372,3
1373,6
1374,479
1376,40
1378,90
1379,13
1380,16
1381,141
1382,32
1384,3
1385,11
1386,28
1387,138
1388,8
1389,189
1390,1
1391,2
1392,6
1393,1
1394,2
1395,50
1396,421
1397,6
1398,320
1399,73
1400,264
1401,282
1402,2
1403,20
1404,16
1405,65
1406,32
1407,33
1408,7
1409,2
1410,217
1412,132
1413,129
1414,3
1415,11
1416,23
1417,8
1418,6
1419,21
1420,19
1421,32
1422,28
1423,21
1425,1
1426,163
1427,28
1428,28
1429,286
1430,8
1431,16
1432,122
1433,87
1434,293
1435,141
1436,18
1437,109
1438,7
1439,10
1440,9
1441,21
1442,179
1443,7
1444,2
1445,26
1446,116
1447,6
1448,70
1449,256
1450,4
1451,4
1452,1
1453,2
1454,5
1455,12
1456,44
1457,41
1458,186
1459,50
1460,50
1461,11
1464,21
1465,23
1466,21
1467,5
1468,259
1470,1
1471,24
1472,2
1473,51
1474,3
1475,125
1477,106
1479,12
1480,10
1481,18
1482,19
1483,5
1484,435
1485,54
1486,1
1487,5
1491,9
1492,33
