cluster_id,original_households,sampled_households
1,300,300
2,10137,10137
3,1231,1231
4,144,144
6,13,13
8,126,126
9,13,13
11,4,4
12,128,128
13,16,16
14,86,86
15,206,206
16,260,260
17,1,1
18,28,28
19,74,74
20,481,481
21,59,59
22,66,66
23,5692,5692
24,92,92
25,5,5
26,16,16
27,28,28
28,264,264
29,187,187
31,54,54
32,437,437
33,6,6
34,32,32
35,19,19
36,19,19
37,5319,5319
38,14,14
40,20,20
41,212,212
42,95,95
43,239,239
44,92,92
45,3,3
46,200,200
47,333,333
49,35,35
50,15,15
52,104,104
53,151,151
54,16,16
55,1,1
56,48,48
57,95,95
58,54,54
59,121,121
60,290,290
61,39,39
62,424,424
63,32,32
64,134,134
65,58,58
66,8,8
67,19,19
68,3,3
69,184,184
70,22,22
71,35,35
72,276,276
73,47,47
74,295,295
75,121,121
76,145,145
77,185,185
80,289,289
84,1,1
85,555,555
86,198,198
87,33,33
88,31,31
90,62,62
91,359,359
92,117,117
93,3,3
94,105,105
95,332,332
96,195,195
97,37,37
98,477,477
99,214,214
100,122,122
101,360,360
102,167,167
103,2,2
105,205,205
106,519,519
107,84,84
109,33,33
112,196,196
114,192,192
116,430,430
118,890,890
119,11,11
120,10,10
123,224,224
124,376,376
125,626,626
126,222,222
127,1,1
128,33,33
129,201,201
130,251,251
132,140,140
133,292,292
135,311,311
136,16,16
137,327,327
139,23,23
141,90,90
142,122,122
147,5,5
148,59,59
149,1,1
150,30,30
151,13,13
154,520,520
155,849,849
156,28,28
157,132,132
158,864,864
159,89,89
162,57,57
164,487,487
166,75,75
167,3,3
168,142,142
169,214,214
171,544,544
172,529,529
173,90,90
174,1,1
175,516,516
177,328,328
178,53,53
179,391,391
180,73,73
181,1610,1610
182,1,1
183,316,316
184,71,71
185,118,118
186,322,322
187,526,526
188,1180,1180
189,13,13
190,830,830
191,71,71
193,358,358
194,900,900
195,457,457
196,415,415
197,26,26
198,132,132
199,58,58
200,329,329
201,678,678
202,424,424
203,401,401
204,464,464
205,2,2
206,1030,1030
207,328,328
208,201,201
210,475,475
211,68,68
212,546,546
213,655,655
214,591,591
215,531,531
216,235,235
217,43,43
218,27,27
219,10,10
221,111,111
222,301,301
223,970,970
225,283,283
227,203,203
228,358,358
230,195,195
231,2,2
232,800,800
233,20,20
234,344,344
235,415,415
236,73,73
237,245,245
238,211,211
240,1060,1060
241,162,162
243,36,36
244,452,452
245,1321,1321
246,1232,1232
247,629,629
250,796,796
251,257,257
252,17,17
255,402,402
258,435,435
259,7,7
262,535,535
270,37,37
272,1,1
274,1,1
276,43,43
278,510,510
279,3369,3369
282,4656,4656
285,236,236
287,3008,3008
291,810,810
292,94,94
293,113,113
294,307,307
296,1774,1774
298,969,969
299,87,87
300,140,140
301,292,292
302,1,1
305,240,240
306,1495,1495
307,2208,2208
308,642,642
309,440,440
310,616,616
311,374,374
312,458,458
313,778,778
314,12,12
315,104,104
316,14,14
317,45,45
318,129,129
320,226,226
321,353,353
322,313,313
323,1,1
325,185,185
326,33,33
327,176,176
329,444,444
330,119,119
331,694,694
332,351,351
333,35,35
334,220,220
335,270,270
336,74,74
340,1,1
341,136,136
344,367,367
345,733,733
346,94,94
347,320,320
348,1,1
349,875,875
353,1300,1300
355,387,387
356,58,58
357,57,57
358,15,15
359,535,535
360,200,200
364,1,1
366,479,479
367,542,542
368,137,137
370,1253,1253
372,774,774
374,186,186
377,34,34
378,106,106
380,1321,1321
381,222,222
382,306,306
383,13,13
384,1191,1191
385,62,62
386,1,1
387,599,599
388,42,42
389,176,176
391,113,113
392,304,304
394,329,329
395,872,872
396,28,28
398,716,716
400,1407,1407
401,153,153
402,81,81
403,407,407
405,156,156
406,100,100
407,51,51
410,687,687
412,70,70
413,12,12
415,220,220
416,1325,1325
417,680,680
418,1006,1006
419,283,283
420,196,196
421,824,824
423,107,107
426,5,5
428,429,429
429,183,183
430,1677,1677
431,1447,1447
432,584,584
433,24,24
434,414,414
436,174,174
438,1214,1214
439,921,921
440,3,3
442,409,409
443,918,918
445,789,789
447,900,900
448,951,951
449,2,2
450,64,64
452,483,483
453,130,130
455,1368,1368
457,546,546
460,3,3
461,74,74
462,195,195
463,249,249
464,72,72
465,34,34
466,1193,1193
467,287,287
468,370,370
469,144,144
470,142,142
471,1,1
472,1,1
473,693,693
474,297,297
475,260,260
476,191,191
478,83,83
479,528,528
480,354,354
481,3783,3783
