tripMode,num_trips,share
Bike,67777.00000052,0.005346756912586106
Drive Alone,6022384.933760992,0.4750907870604181
Micro-Mobility,33833.0,0.002669000200984668
Non-Pooled TNC,52518.499208990004,0.004143052195909539
Pooled TNC,5520.00000756,0.0004354589049038811
School Bus,36506.0,0.002879866442146611
Shared Ride 2,1505052.9093964158,0.11872983529901555
Shared Ride 3+,594348.851405481,0.046886684711856336
Taxi,6042.81823432,0.00047670271870404324
Transit,219339.00005453,0.017303101564428713
Truck,371452.2842434974,0.029302935633910933
Walk,3761507.00127541,0.2967358183551357
